,Unnamed: 0,userName,score,at,content,sentiment_label,lower_content,clean_content,tokenized,stemmed,removed_stopwords,replace_slang,final
381,381,ercepe,1,2024-02-07 13:42:34,Kenapa saya mengalami invalid request terus padahal data sudah lengkap dan benar ya?,2,kenapa saya mengalami invalid request terus padahal data sudah lengkap dan benar ya?,kenapa saya mengalami invalid request terus padahal data sudah lengkap dan benar ya ,"['kenapa', 'saya', 'mengalami', 'invalid', 'request', 'terus', 'padahal', 'data', 'sudah', 'lengkap', 'dan', 'benar', 'ya']","['kenapa', 'saya', 'alami', 'invalid', 'request', 'terus', 'padahal', 'data', 'sudah', 'lengkap', 'dan', 'benar', 'ya']","['alami', 'invalid', 'request', 'data', 'lengkap', 'ya']","['alami', 'invalid', 'request', 'data', 'bagus', 'ya']",alami invalid request data bagus ya
382,382,Elma Peren Sirait,4,2024-02-07 08:51:30,"Mohon penjelasannya bapak/ibu Saya sudah mengurus SKCK secara online Tp ternyata pengambilan nya sesuai KTP Dan saya tdk teliti dlm mengisi ""Pengambilan SKCK di wakilkan oleh""Saya pilih nya ""saya sendiri"" Lalu saya baru ingat kalau domisili saya saat ini tdk sesuai dengan pengambilan SKCK. Lalu saya urus ulang secara online, Dan saya mengisi "" pengambilan SKCK di wakilkan oleh"" Saya pilih ""orang tua"". Jd intinya pembayaran saya 2 kali. Apakah ada pengembalian atau gimana ya pak/bu? Terima Kasih",2,"mohon penjelasannya bapak/ibu saya sudah mengurus skck secara online tp ternyata pengambilan nya sesuai ktp dan saya tdk teliti dlm mengisi ""pengambilan skck di wakilkan oleh""saya pilih nya ""saya sendiri"" lalu saya baru ingat kalau domisili saya saat ini tdk sesuai dengan pengambilan skck. lalu saya urus ulang secara online, dan saya mengisi "" pengambilan skck di wakilkan oleh"" saya pilih ""orang tua"". jd intinya pembayaran saya 2 kali. apakah ada pengembalian atau gimana ya pak/bu? terima kasih",mohon penjelasannya bapak ibu saya sudah mengurus skck secara online tp ternyata pengambilan nya sesuai ktp dan saya tdk teliti dlm mengisi  pengambilan skck di wakilkan oleh saya pilih nya  saya sendiri  lalu saya baru ingat kalau domisili saya saat ini tdk sesuai dengan pengambilan skck  lalu saya urus ulang secara online  dan saya mengisi   pengambilan skck di wakilkan oleh  saya pilih  orang tua   jd intinya pembayaran saya   kali  apakah ada pengembalian atau gimana ya pak bu  terima kasih,"['mohon', 'penjelasannya', 'bapak', 'ibu', 'saya', 'sudah', 'mengurus', 'skck', 'secara', 'online', 'tp', 'ternyata', 'pengambilan', 'nya', 'sesuai', 'ktp', 'dan', 'saya', 'tdk', 'teliti', 'dlm', 'mengisi', 'pengambilan', 'skck', 'di', 'wakilkan', 'oleh', 'saya', 'pilih', 'nya', 'saya', 'sendiri', 'lalu', 'saya', 'baru', 'ingat', 'kalau', 'domisili', 'saya', 'saat', 'ini', 'tdk', 'sesuai', 'dengan', 'pengambilan', 'skck', 'lalu', 'saya', 'urus', 'ulang', 'secara', 'online', 'dan', 'saya', 'mengisi', 'pengambilan', 'skck', 'di', 'wakilkan', 'oleh', 'saya', 'pilih', 'orang', 'tua', 'jd', 'intinya', 'pembayaran', 'saya', 'kali', 'apakah', 'ada', 'pengembalian', 'atau', 'gimana', 'ya', 'pak', 'bu', 'terima', 'kasih']","['mohon', 'jelas', 'bapak', 'ibu', 'saya', 'sudah', 'urus', 'skck', 'cara', 'online', 'tp', 'nyata', 'ambil', 'nya', 'sesuai', 'ktp', 'dan', 'saya', 'tdk', 'teliti', 'dlm', 'isi', 'ambil', 'skck', 'di', 'wakil', 'oleh', 'saya', 'pilih', 'nya', 'saya', 'sendiri', 'lalu', 'saya', 'baru', 'ingat', 'kalau', 'domisili', 'saya', 'saat', 'ini', 'tdk', 'sesuai', 'dengan', 'ambil', 'skck', 'lalu', 'saya', 'urus', 'ulang', 'cara', 'online', 'dan', 'saya', 'isi', 'ambil', 'skck', 'di', 'wakil', 'oleh', 'saya', 'pilih', 'orang', 'tua', 'jd', 'inti', 'bayar', 'saya', 'kali', 'apakah', 'ada', 'kembali', 'atau', 'gimana', 'ya', 'pak', 'bu', 'terima', 'kasih']","['mohon', 'urus', 'online', 'tp', 'nyata', 'ambil', 'sesuai', 'tdk', 'teliti', 'dlm', 'isi', 'ambil', 'wakil', 'pilih', 'domisili', 'tdk', 'sesuai', 'ambil', 'urus', 'ulang', 'online', 'isi', 'ambil', 'wakil', 'pilih', 'orang', 'tua', 'jd', 'inti', 'bayar', 'kali', 'gimana', 'ya', 'bu', 'terima', 'kasih']","['mohon', 'urus', 'online', 'tapi', 'nyata', 'ambil', 'sesuai', 'tidak', 'teliti', 'dalam', 'isi', 'ambil', 'wakil', 'pilih', 'domisili', 'tidak', 'sesuai', 'ambil', 'urus', 'ulang', 'online', 'isi', 'ambil', 'wakil', 'pilih', 'orang', 'tua', 'jadi', 'inti', 'bayar', 'kali', 'bagaimana', 'ya', 'bu', 'terima', 'kasih']",mohon urus online tapi nyata ambil sesuai tidak teliti dalam isi ambil wakil pilih domisili tidak sesuai ambil urus ulang online isi ambil wakil pilih orang tua jadi inti bayar kali bagaimana ya bu terima kasih
383,383,Kuntul,1,2024-02-07 06:07:14,"Tidak bisa daftar, verifikasi email tidak masuk masuk. (Bkn email saya bermasalah ataupun hp saya karena email lain gampang masuk inbox) Kalau bisa verifikasi bisa lewat sms atau WA juga. Jangan patokan ke email saja. Trimakasih.",0,"tidak bisa daftar, verifikasi email tidak masuk masuk. (bkn email saya bermasalah ataupun hp saya karena email lain gampang masuk inbox) kalau bisa verifikasi bisa lewat sms atau wa juga. jangan patokan ke email saja. trimakasih.",tidak bisa daftar  verifikasi email tidak masuk masuk   bkn email saya bermasalah ataupun hp saya karena email lain gampang masuk inbox  kalau bisa verifikasi bisa lewat sms atau wa juga  jangan patokan ke email saja  trimakasih ,"['tidak', 'bisa', 'daftar', 'verifikasi', 'email', 'tidak', 'masuk', 'masuk', 'bkn', 'email', 'saya', 'bermasalah', 'ataupun', 'hp', 'saya', 'karena', 'email', 'lain', 'gampang', 'masuk', 'inbox', 'kalau', 'bisa', 'verifikasi', 'bisa', 'lewat', 'sms', 'atau', 'wa', 'juga', 'jangan', 'patokan', 'ke', 'email', 'saja', 'trimakasih']","['tidak', 'bisa', 'daftar', 'verifikasi', 'email', 'tidak', 'masuk', 'masuk', 'bkn', 'email', 'saya', 'masalah', 'atau', 'hp', 'saya', 'karena', 'email', 'lain', 'gampang', 'masuk', 'inbox', 'kalau', 'bisa', 'verifikasi', 'bisa', 'lewat', 'sms', 'atau', 'wa', 'juga', 'jangan', 'patok', 'ke', 'email', 'saja', 'trimakasih']","['tidak', 'daftar', 'verifikasi', 'email', 'tidak', 'masuk', 'masuk', 'bkn', 'email', 'hp', 'email', 'gampang', 'masuk', 'inbox', 'verifikasi', 'sms', 'wa', 'patok', 'email', 'trimakasih']","['tidak', 'daftar', 'verifikasi', 'email', 'tidak', 'masuk', 'masuk', 'bukan', 'email', 'handphone', 'email', 'mudah', 'masuk', 'inbox', 'verifikasi', 'sms', 'wa', 'patok', 'email', 'terimakasih']",tidak daftar verifikasi email tidak masuk masuk bukan email handphone email mudah masuk inbox verifikasi sms wa patok email terimakasih
384,384,Muhammad Redo,1,2024-02-07 02:44:19,"Aplikasi gk berguna , mempersulit!",0,"aplikasi gk berguna , mempersulit!",aplikasi gk berguna   mempersulit ,"['aplikasi', 'gk', 'berguna', 'mempersulit']","['aplikasi', 'gk', 'guna', 'sulit']","['aplikasi', 'gk', 'sulit']","['aplikasi', 'tidak', 'sulit']",aplikasi tidak sulit
385,385,azhril suherman,1,2024-02-07 02:07:16,Apk nya gajelas verifikasi ga bisa²,0,apk nya gajelas verifikasi ga bisa²,apk nya gajelas verifikasi ga bisa ,"['apk', 'nya', 'gajelas', 'verifikasi', 'ga', 'bisa']","['apk', 'nya', 'gajelas', 'verifikasi', 'ga', 'bisa']","['apk', 'gajelas', 'verifikasi', 'ga']","['aplikasi', 'tidak', 'jelas', 'verifikasi', 'tidak']",aplikasi tidak jelas verifikasi tidak
386,386,irwan agustiadi,1,2024-02-07 01:11:41,"Mau perpanjangan SKCK, isi data invalid request terus, bikin susah aja.. ini bukan memudahkan malah menyusahkan",0,"mau perpanjangan skck, isi data invalid request terus, bikin susah aja.. ini bukan memudahkan malah menyusahkan",mau perpanjangan skck  isi data invalid request terus  bikin susah aja   ini bukan memudahkan malah menyusahkan,"['mau', 'perpanjangan', 'skck', 'isi', 'data', 'invalid', 'request', 'terus', 'bikin', 'susah', 'aja', 'ini', 'bukan', 'memudahkan', 'malah', 'menyusahkan']","['mau', 'panjang', 'skck', 'isi', 'data', 'invalid', 'request', 'terus', 'bikin', 'susah', 'aja', 'ini', 'bukan', 'mudah', 'malah', 'susah']","['isi', 'data', 'invalid', 'request', 'bikin', 'susah', 'aja', 'mudah', 'susah']","['isi', 'data', 'invalid', 'request', 'bikin', 'sulit', 'saja', 'mudah', 'sulit']",isi data invalid request bikin sulit saja mudah sulit
387,387,Nindya Amirah Isnain Ferry,1,2024-02-07 00:42:20,"Saya sudah 3x coba lengkapi identitas, tapi tetap invalid. Ini maksudnya gimana ya? Dipanduan juga ngga ada tuh cara tanganinya.",0,"saya sudah 3x coba lengkapi identitas, tapi tetap invalid. ini maksudnya gimana ya? dipanduan juga ngga ada tuh cara tanganinya.",saya sudah  x coba lengkapi identitas  tapi tetap invalid  ini maksudnya gimana ya  dipanduan juga ngga ada tuh cara tanganinya ,"['saya', 'sudah', 'x', 'coba', 'lengkapi', 'identitas', 'tapi', 'tetap', 'invalid', 'ini', 'maksudnya', 'gimana', 'ya', 'dipanduan', 'juga', 'ngga', 'ada', 'tuh', 'cara', 'tanganinya']","['saya', 'sudah', 'x', 'coba', 'lengkap', 'identitas', 'tapi', 'tetap', 'invalid', 'ini', 'maksud', 'gimana', 'ya', 'pandu', 'juga', 'ngga', 'ada', 'tuh', 'cara', 'tangan']","['x', 'coba', 'lengkap', 'identitas', 'invalid', 'maksud', 'gimana', 'ya', 'pandu', 'ngga', 'tuh', 'tangan']","['kali', 'coba', 'bagus', 'identitas', 'invalid', 'maksud', 'bagaimana', 'ya', 'pandu', 'tidak', 'tuh', 'tangan']",kali coba bagus identitas invalid maksud bagaimana ya pandu tidak tuh tangan
388,388,Dhea Dan,1,2024-02-06 20:44:04,"Tolong jika membuat apk, diperhatikan kesiapan apk tsb, dulu dengan sistem web menurut saya sudah sangat bagus, saya kira dengan pembaruan apk ini akan mempermudah saya,tapi nyatanya malah mempersulit saya,mau ngurus apa2 susah, membuka apk, verifikasi susah,nunggu bebra kali bahkan nunggu lusanya,baru selesai verifikasi apk malah muter2 saja",0,"tolong jika membuat apk, diperhatikan kesiapan apk tsb, dulu dengan sistem web menurut saya sudah sangat bagus, saya kira dengan pembaruan apk ini akan mempermudah saya,tapi nyatanya malah mempersulit saya,mau ngurus apa2 susah, membuka apk, verifikasi susah,nunggu bebra kali bahkan nunggu lusanya,baru selesai verifikasi apk malah muter2 saja",tolong jika membuat apk  diperhatikan kesiapan apk tsb  dulu dengan sistem web menurut saya sudah sangat bagus  saya kira dengan pembaruan apk ini akan mempermudah saya tapi nyatanya malah mempersulit saya mau ngurus apa  susah  membuka apk  verifikasi susah nunggu bebra kali bahkan nunggu lusanya baru selesai verifikasi apk malah muter  saja,"['tolong', 'jika', 'membuat', 'apk', 'diperhatikan', 'kesiapan', 'apk', 'tsb', 'dulu', 'dengan', 'sistem', 'web', 'menurut', 'saya', 'sudah', 'sangat', 'bagus', 'saya', 'kira', 'dengan', 'pembaruan', 'apk', 'ini', 'akan', 'mempermudah', 'saya', 'tapi', 'nyatanya', 'malah', 'mempersulit', 'saya', 'mau', 'ngurus', 'apa', 'susah', 'membuka', 'apk', 'verifikasi', 'susah', 'nunggu', 'bebra', 'kali', 'bahkan', 'nunggu', 'lusanya', 'baru', 'selesai', 'verifikasi', 'apk', 'malah', 'muter', 'saja']","['tolong', 'jika', 'buat', 'apk', 'perhati', 'kesiap', 'apk', 'tsb', 'dulu', 'dengan', 'sistem', 'web', 'turut', 'saya', 'sudah', 'sangat', 'bagus', 'saya', 'kira', 'dengan', 'baru', 'apk', 'ini', 'akan', 'mudah', 'saya', 'tapi', 'nyata', 'malah', 'sulit', 'saya', 'mau', 'ngurus', 'apa', 'susah', 'buka', 'apk', 'verifikasi', 'susah', 'nunggu', 'bebra', 'kali', 'bahkan', 'nunggu', 'lusa', 'baru', 'selesai', 'verifikasi', 'apk', 'malah', 'muter', 'saja']","['tolong', 'apk', 'perhati', 'kesiap', 'apk', 'tsb', 'sistem', 'web', 'bagus', 'apk', 'mudah', 'nyata', 'sulit', 'ngurus', 'susah', 'buka', 'apk', 'verifikasi', 'susah', 'nunggu', 'bebra', 'kali', 'nunggu', 'lusa', 'selesai', 'verifikasi', 'apk', 'muter']","['tolong', 'aplikasi', 'perhati', 'kesiap', 'aplikasi', 'tersebut', 'sistem', 'web', 'bagus', 'aplikasi', 'mudah', 'nyata', 'sulit', 'mengurus', 'sulit', 'buka', 'aplikasi', 'verifikasi', 'sulit', 'menunggu', 'bebra', 'kali', 'menunggu', 'lusa', 'selesai', 'verifikasi', 'aplikasi', 'lambat']",tolong aplikasi perhati kesiap aplikasi tersebut sistem web bagus aplikasi mudah nyata sulit mengurus sulit buka aplikasi verifikasi sulit menunggu bebra kali menunggu lusa selesai verifikasi aplikasi lambat
389,389,Ica kurnia,1,2024-02-06 12:04:24,Aplikasi T@i mempersulit rakyat.!!,0,aplikasi t@i mempersulit rakyat.!!,aplikasi t i mempersulit rakyat   ,"['aplikasi', 't', 'i', 'mempersulit', 'rakyat']","['aplikasi', 't', 'i', 'sulit', 'rakyat']","['aplikasi', 'sulit', 'rakyat']","['aplikasi', 'sulit', 'rakyat']",aplikasi sulit rakyat
390,390,laila Maqhfiroh,5,2024-02-06 10:33:55,"Baru download jg,,mdh2 an aman dan nyaman",2,"baru download jg,,mdh2 an aman dan nyaman",baru download jg  mdh  an aman dan nyaman,"['baru', 'download', 'jg', 'mdh', 'an', 'aman', 'dan', 'nyaman']","['baru', 'download', 'jg', 'mdh', 'an', 'aman', 'dan', 'nyaman']","['download', 'jg', 'mdh', 'aman', 'nyaman']","['unduh', 'juga', 'mdh', 'aman', 'nyaman']",unduh juga mdh aman nyaman
391,391,Haerul,1,2024-02-06 09:07:49,Minta otp aja susah kali,0,minta otp aja susah kali,minta otp aja susah kali,"['minta', 'otp', 'aja', 'susah', 'kali']","['minta', 'otp', 'aja', 'susah', 'kali']","['otp', 'aja', 'susah', 'kali']","['otp', 'saja', 'sulit', 'kali']",otp saja sulit kali
392,392,Lucy Ardianto,1,2024-02-06 07:05:39,"Percuma susah-susah foto dari aplikasi, melengkapi berkas dari aplikasi, kalau ujung-ujungnya waktu mau pengambilan/cetak SKCK masih harus bawa semua berkas2 nya . Percuma juga kalau aplikasi dan inovasi nya bagus tapi pelayanan nya bobrok .padahal semua persyaratan yang sudah di upload harusnya sudah otomatis tersimpan di database.. Hadeh gimana mau maju kalo gini",0,"percuma susah-susah foto dari aplikasi, melengkapi berkas dari aplikasi, kalau ujung-ujungnya waktu mau pengambilan/cetak skck masih harus bawa semua berkas2 nya . percuma juga kalau aplikasi dan inovasi nya bagus tapi pelayanan nya bobrok .padahal semua persyaratan yang sudah di upload harusnya sudah otomatis tersimpan di database.. hadeh gimana mau maju kalo gini",percuma susah susah foto dari aplikasi  melengkapi berkas dari aplikasi  kalau ujung ujungnya waktu mau pengambilan cetak skck masih harus bawa semua berkas  nya   percuma juga kalau aplikasi dan inovasi nya bagus tapi pelayanan nya bobrok  padahal semua persyaratan yang sudah di upload harusnya sudah otomatis tersimpan di database   hadeh gimana mau maju kalo gini,"['percuma', 'susah', 'susah', 'foto', 'dari', 'aplikasi', 'melengkapi', 'berkas', 'dari', 'aplikasi', 'kalau', 'ujung', 'ujungnya', 'waktu', 'mau', 'pengambilan', 'cetak', 'skck', 'masih', 'harus', 'bawa', 'semua', 'berkas', 'nya', 'percuma', 'juga', 'kalau', 'aplikasi', 'dan', 'inovasi', 'nya', 'bagus', 'tapi', 'pelayanan', 'nya', 'bobrok', 'padahal', 'semua', 'persyaratan', 'yang', 'sudah', 'di', 'upload', 'harusnya', 'sudah', 'otomatis', 'tersimpan', 'di', 'database', 'hadeh', 'gimana', 'mau', 'maju', 'kalo', 'gini']","['percuma', 'susah', 'susah', 'foto', 'dari', 'aplikasi', 'lengkap', 'berkas', 'dari', 'aplikasi', 'kalau', 'ujung', 'ujung', 'waktu', 'mau', 'ambil', 'cetak', 'skck', 'masih', 'harus', 'bawa', 'semua', 'berkas', 'nya', 'percuma', 'juga', 'kalau', 'aplikasi', 'dan', 'inovasi', 'nya', 'bagus', 'tapi', 'layan', 'nya', 'bobrok', 'padahal', 'semua', 'syarat', 'yang', 'sudah', 'di', 'upload', 'harus', 'sudah', 'otomatis', 'simpan', 'di', 'database', 'hadeh', 'gimana', 'mau', 'maju', 'kalo', 'gini']","['susah', 'susah', 'foto', 'aplikasi', 'lengkap', 'berkas', 'aplikasi', 'ujung', 'ujung', 'ambil', 'cetak', 'bawa', 'berkas', 'aplikasi', 'inovasi', 'bagus', 'layan', 'bobrok', 'syarat', 'upload', 'otomatis', 'simpan', 'database', 'hadeh', 'gimana', 'maju', 'kalo', 'gini']","['sulit', 'sulit', 'foto', 'aplikasi', 'bagus', 'berkas', 'aplikasi', 'ujung', 'ujung', 'ambil', 'cetak', 'bawa', 'berkas', 'aplikasi', 'inovasi', 'bagus', 'layan', 'jelek', 'syarat', 'upload', 'otomatis', 'simpan', 'database', 'aduh', 'bagaimana', 'maju', 'kalau', 'gini']",sulit sulit foto aplikasi bagus berkas aplikasi ujung ujung ambil cetak bawa berkas aplikasi inovasi bagus layan jelek syarat upload otomatis simpan database aduh bagaimana maju kalau gini
393,393,Nikobanurea Niko,1,2024-02-06 06:52:59,Aplikasi nyusahin orang aja,0,aplikasi nyusahin orang aja,aplikasi nyusahin orang aja,"['aplikasi', 'nyusahin', 'orang', 'aja']","['aplikasi', 'nyusahin', 'orang', 'aja']","['aplikasi', 'nyusahin', 'orang', 'aja']","['aplikasi', 'menyusahkan', 'orang', 'saja']",aplikasi menyusahkan orang saja
394,394,Muhammad As'ad,1,2024-02-06 05:37:19,"Sangat tidak bagus ini aplikasi masa kita sudah bayar lunas di aplikasi presisi polri ,sy bayar melalui BRIVA kemudian saya di arah kan ke polres morowali tapi anggota di sana enggan untuk melayani saya,malah dia mengatakan sy tdk tau dengam itu hrus di urus dsni bkn melalui presisi lah kemudian uang sy yg sdh sy tf siapa yg mau tanggung hawab",0,"sangat tidak bagus ini aplikasi masa kita sudah bayar lunas di aplikasi presisi polri ,sy bayar melalui briva kemudian saya di arah kan ke polres morowali tapi anggota di sana enggan untuk melayani saya,malah dia mengatakan sy tdk tau dengam itu hrus di urus dsni bkn melalui presisi lah kemudian uang sy yg sdh sy tf siapa yg mau tanggung hawab",sangat tidak bagus ini aplikasi masa kita sudah bayar lunas di aplikasi presisi polri  sy bayar melalui briva kemudian saya di arah kan ke polres morowali tapi anggota di sana enggan untuk melayani saya malah dia mengatakan sy tdk tau dengam itu hrus di urus dsni bkn melalui presisi lah kemudian uang sy yg sdh sy tf siapa yg mau tanggung hawab,"['sangat', 'tidak', 'bagus', 'ini', 'aplikasi', 'masa', 'kita', 'sudah', 'bayar', 'lunas', 'di', 'aplikasi', 'presisi', 'polri', 'sy', 'bayar', 'melalui', 'briva', 'kemudian', 'saya', 'di', 'arah', 'kan', 'ke', 'polres', 'morowali', 'tapi', 'anggota', 'di', 'sana', 'enggan', 'untuk', 'melayani', 'saya', 'malah', 'dia', 'mengatakan', 'sy', 'tdk', 'tau', 'dengam', 'itu', 'hrus', 'di', 'urus', 'dsni', 'bkn', 'melalui', 'presisi', 'lah', 'kemudian', 'uang', 'sy', 'yg', 'sdh', 'sy', 'tf', 'siapa', 'yg', 'mau', 'tanggung', 'hawab']","['sangat', 'tidak', 'bagus', 'ini', 'aplikasi', 'masa', 'kita', 'sudah', 'bayar', 'lunas', 'di', 'aplikasi', 'presisi', 'polri', 'sy', 'bayar', 'lalu', 'briva', 'kemudian', 'saya', 'di', 'arah', 'kan', 'ke', 'polres', 'morowali', 'tapi', 'anggota', 'di', 'sana', 'enggan', 'untuk', 'layan', 'saya', 'malah', 'dia', 'kata', 'sy', 'tdk', 'tau', 'dengam', 'itu', 'hrus', 'di', 'urus', 'dsni', 'bkn', 'lalu', 'presisi', 'lah', 'kemudian', 'uang', 'sy', 'yg', 'sdh', 'sy', 'tf', 'siapa', 'yg', 'mau', 'tanggung', 'hawab']","['tidak', 'bagus', 'aplikasi', 'bayar', 'lunas', 'aplikasi', 'bayar', 'arah', 'morowali', 'anggota', 'enggan', 'layan', 'tdk', 'tau', 'dengam', 'hrus', 'urus', 'dsni', 'bkn', 'uang', 'yg', 'sdh', 'tf', 'yg', 'tanggung', 'hawab']","['tidak', 'bagus', 'aplikasi', 'bayar', 'lunas', 'aplikasi', 'bayar', 'arah', 'morowali', 'anggota', 'enggan', 'layan', 'tidak', 'tau', 'dengam', 'harus', 'urus', 'disini', 'bukan', 'uang', 'yang', 'sudah', 'tf', 'yang', 'tanggung', 'hawab']",tidak bagus aplikasi bayar lunas aplikasi bayar arah morowali anggota enggan layan tidak tau dengam harus urus disini bukan uang yang sudah tf yang tanggung hawab
395,395,Yanuarisha Yesvi,2,2024-02-06 05:22:08,"Mohon maaf kasih bintang 2, karena pembuatan SKCK yang sudah dibayar melalui briva. Tidak dianggap masuk jika ke polsek.( bukti scan pembayaran dan email sudah ditunjukan ke petugas)Dengan alasan belum online dan hanya bisa di polres. Padahal saya dapat email bahwa arahan nya untuk datang ke polsek. Jadinya saya bayar dua kali. Saya tanya di polsek tsb Apakah pembayaran online melalui briva bisa kembali . Petugas disana belum mengetahui caranya. Sosialisasi nya belum menerima informasi katanya.",0,"mohon maaf kasih bintang 2, karena pembuatan skck yang sudah dibayar melalui briva. tidak dianggap masuk jika ke polsek.( bukti scan pembayaran dan email sudah ditunjukan ke petugas)dengan alasan belum online dan hanya bisa di polres. padahal saya dapat email bahwa arahan nya untuk datang ke polsek. jadinya saya bayar dua kali. saya tanya di polsek tsb apakah pembayaran online melalui briva bisa kembali . petugas disana belum mengetahui caranya. sosialisasi nya belum menerima informasi katanya.",mohon maaf kasih bintang    karena pembuatan skck yang sudah dibayar melalui briva  tidak dianggap masuk jika ke polsek   bukti scan pembayaran dan email sudah ditunjukan ke petugas dengan alasan belum online dan hanya bisa di polres  padahal saya dapat email bahwa arahan nya untuk datang ke polsek  jadinya saya bayar dua kali  saya tanya di polsek tsb apakah pembayaran online melalui briva bisa kembali   petugas disana belum mengetahui caranya  sosialisasi nya belum menerima informasi katanya ,"['mohon', 'maaf', 'kasih', 'bintang', 'karena', 'pembuatan', 'skck', 'yang', 'sudah', 'dibayar', 'melalui', 'briva', 'tidak', 'dianggap', 'masuk', 'jika', 'ke', 'polsek', 'bukti', 'scan', 'pembayaran', 'dan', 'email', 'sudah', 'ditunjukan', 'ke', 'petugas', 'dengan', 'alasan', 'belum', 'online', 'dan', 'hanya', 'bisa', 'di', 'polres', 'padahal', 'saya', 'dapat', 'email', 'bahwa', 'arahan', 'nya', 'untuk', 'datang', 'ke', 'polsek', 'jadinya', 'saya', 'bayar', 'dua', 'kali', 'saya', 'tanya', 'di', 'polsek', 'tsb', 'apakah', 'pembayaran', 'online', 'melalui', 'briva', 'bisa', 'kembali', 'petugas', 'disana', 'belum', 'mengetahui', 'caranya', 'sosialisasi', 'nya', 'belum', 'menerima', 'informasi', 'katanya']","['mohon', 'maaf', 'kasih', 'bintang', 'karena', 'buat', 'skck', 'yang', 'sudah', 'bayar', 'lalu', 'briva', 'tidak', 'anggap', 'masuk', 'jika', 'ke', 'polsek', 'bukti', 'scan', 'bayar', 'dan', 'email', 'sudah', 'tunjuk', 'ke', 'tugas', 'dengan', 'alas', 'belum', 'online', 'dan', 'hanya', 'bisa', 'di', 'polres', 'padahal', 'saya', 'dapat', 'email', 'bahwa', 'arah', 'nya', 'untuk', 'datang', 'ke', 'polsek', 'jadi', 'saya', 'bayar', 'dua', 'kali', 'saya', 'tanya', 'di', 'polsek', 'tsb', 'apakah', 'bayar', 'online', 'lalu', 'briva', 'bisa', 'kembali', 'tugas', 'sana', 'belum', 'tahu', 'cara', 'sosialisasi', 'nya', 'belum', 'terima', 'informasi', 'kata']","['mohon', 'maaf', 'kasih', 'bintang', 'bayar', 'tidak', 'anggap', 'masuk', 'bukti', 'scan', 'bayar', 'email', 'tugas', 'alas', 'online', 'email', 'arah', 'bayar', 'kali', 'tsb', 'bayar', 'online', 'tugas', 'sosialisasi', 'terima', 'informasi']","['mohon', 'maaf', 'kasih', 'bintang', 'bayar', 'tidak', 'anggap', 'masuk', 'bukti', 'scan', 'bayar', 'email', 'tugas', 'alas', 'online', 'email', 'arah', 'bayar', 'kali', 'tersebut', 'bayar', 'online', 'tugas', 'sosialisasi', 'terima', 'informasi']",mohon maaf kasih bintang bayar tidak anggap masuk bukti scan bayar email tugas alas online email arah bayar kali tersebut bayar online tugas sosialisasi terima informasi
396,396,Reng Madhureh,2,2024-02-06 04:21:22,Untuk registrasi data diri banyak kendala infonya gmna,0,untuk registrasi data diri banyak kendala infonya gmna,untuk registrasi data diri banyak kendala infonya gmna,"['untuk', 'registrasi', 'data', 'diri', 'banyak', 'kendala', 'infonya', 'gmna']","['untuk', 'registrasi', 'data', 'diri', 'banyak', 'kendala', 'info', 'gmna']","['registrasi', 'data', 'kendala', 'info', 'gmna']","['daftar', 'data', 'kendala', 'info', 'bagaimana']",daftar data kendala info bagaimana
397,397,Aulia Rahman,3,2024-02-06 03:35:06,lamaa sekali kode otw setelah 7 hari baru masuk,0,lamaa sekali kode otw setelah 7 hari baru masuk,lamaa sekali kode otw setelah   hari baru masuk,"['lamaa', 'sekali', 'kode', 'otw', 'setelah', 'hari', 'baru', 'masuk']","['lamaa', 'sekali', 'kode', 'otw', 'telah', 'hari', 'baru', 'masuk']","['lamaa', 'kode', 'otw', 'masuk']","['lama', 'kode', 'otw', 'masuk']",lama kode otw masuk
398,398,zero bye,1,2024-02-06 02:55:02,"masuk aplikasi lama, loading lama, servernya bagusin dong biar nyaman aplikasinya",0,"masuk aplikasi lama, loading lama, servernya bagusin dong biar nyaman aplikasinya",masuk aplikasi lama  loading lama  servernya bagusin dong biar nyaman aplikasinya,"['masuk', 'aplikasi', 'lama', 'loading', 'lama', 'servernya', 'bagusin', 'dong', 'biar', 'nyaman', 'aplikasinya']","['masuk', 'aplikasi', 'lama', 'loading', 'lama', 'servernya', 'bagusin', 'dong', 'biar', 'nyaman', 'aplikasi']","['masuk', 'aplikasi', 'loading', 'servernya', 'bagusin', 'biar', 'nyaman', 'aplikasi']","['masuk', 'aplikasi', 'lambat', 'servernya', 'perbaiki', 'biar', 'nyaman', 'aplikasi']",masuk aplikasi lambat servernya perbaiki biar nyaman aplikasi
399,399,Refi Putra,1,2024-02-05 17:12:36,Apk sesat. Semakin menyulitkan,0,apk sesat. semakin menyulitkan,apk sesat  semakin menyulitkan,"['apk', 'sesat', 'semakin', 'menyulitkan']","['apk', 'sesat', 'makin', 'sulit']","['apk', 'sesat', 'sulit']","['aplikasi', 'sesat', 'sulit']",aplikasi sesat sulit
