,userName,score,at,content
306,Top 1,1,2024-02-14 00:12:34,"Aplikasi gak guna, lemot parah"
307,Rika Damanik,1,2024-02-14 00:10:13,"Awalnya lupa sandi dengan verifikasi ke email bisa ubah sandi, setelah ubah katasandi berhasil saat mau login masuk dengan kata sandi baru tetap bisa."
308,Muhammad Kimo,1,2024-02-13 23:07:24,"Aplikasi gak bisa digunakan kurang bermutu , buruk , gak jelas harusnya memiliki akurasi yang tinggi APKIKASI GAK JELAS"
309,Ardian Dwii Pangga,1,2024-02-13 11:42:01,Tolong admin jangan menyusahkan kami garaagara erorr sistem atau semacam karna kami sangat perluu untuk membuat skck
310,Chozz Channel,5,2024-02-13 09:43:14,Oke lah
311,Adira Loa,1,2024-02-13 06:28:36,"Stuck di verifikasi email , parah banget stuck nya"
312,AgungRmdhn,1,2024-02-13 06:11:40,"Apk sampah mau bikin akun baru buat verifikasi aja susah kode gak dikirim kirim, Udah terkirim malah mau mengajukan bikin skck malah susah asu"
313,Endi Ariadi,5,2024-02-13 05:50:19,Baik
314,Supriyadi,1,2024-02-13 05:31:29,"Ga dapet² no kode verifikasi nya, ga jelas"
315,Wily Ade Kurniawan,1,2024-02-13 05:25:16,"Pengajuan SKCK semuanya harus tingkat kabupaten, gada pilihan di Polsek tingkat kecamatan... Dan seharusnya pengambilan bisa di mana saja seluruh Indonesia... Percuma adanya SKCK online tp pengambilan di Polsek sesuai alamat ktp, buat saya yg perantauan harus ngambilnya pulang kampung, sama saja bohong adanya layanan online"
316,Sumar Delaga,1,2024-02-13 04:42:50,gabisa ini apk lebih baik hapus aja susah tao gabisa ini gaada yang melayani kaianya lewat apk ini
317,Purnama Sari,3,2024-02-13 04:37:29,ini aplikasinya gimana ya saya udh nyoba 3 hari buat verifikasi data diri tapi selalu gangguan . padahal Internet lancar tapi gangguan terus . solusinya gimana ya min .
318,Apri Triawan,4,2024-02-13 04:10:58,Kadang error
319,Dharmanggi Sany,1,2024-02-13 03:22:21,Harusnya verifikasi awal bisa menggunakan WA tidak hanya email. Dan sistemnya juga harus siap ketika dijam sibuk agar pengguna tidak menunggu lama saat aktivasi.
320,rizal alatas,1,2024-02-13 03:18:28,"Waduh, programernya yang betul dong. Di gaji pemerintah loh. Daftar pake email,g dikirm2 kodenya Opsi lain dong,pake wa gtu.atau SMS BACA DAN EVALUASI!! org butuh bngt soalnya,klo bisa pake aplikasi swasta,g bakal kepake ni aplikasi."
321,Gancang Setyo,5,2024-02-13 02:57:46,Sangat bermanfaat
322,Dhea Salshabella,1,2024-02-13 02:43:51,"Gua udah bikin disini, udah bayar, pas ke Polres masih dimintain duit!!! Yang bener ajaaa? Rugi dong gua arrrgggghhhhh"
323,NoNem91,1,2024-02-13 02:08:25,"percuma daftar online, ujung2nya isi formulir lagi di polres yang sama waktu daftar online skcknya. buat apa ni skck online dibuat"
324,Alfajri,1,2024-02-13 01:31:10,mau daftar tapi gabisa kode verif gamasuk masuk ke email
325,Evan sandhi,1,2024-02-13 00:26:03,Sesuai dengan kualitas pelayanan nya
326,Melisa anindia,1,2024-02-13 00:25:05,"Gak bisa masuk, karna email verifikasi nya gak muncul sama sekali, udah coba ngirim email ke diri sendiri langsung masuk, tapi kenapa email verifikasi nya tidak masuk² berarti ada yang salah dari aplikasi ini, karna kalo masalah jaringan gak mungkin, soalnya saya buka sosmed lancar jaya, aman setosa, perlu di perbaiki lagi nih sistem nya, dan kalo bisa verifikasi nya gak cuma lewat email aja tapi tambahin opsi lain seperti sms/wa biar lebih mudah, niat mau perpanjang skck malah gini🤧"
327,Yocki Febrianto,1,2024-02-13 00:24:45,Gak bisa daftar karena verifikasi dari email gak masuk²
328,RUMANSYAH (H 313 RU),5,2024-02-12 18:32:14,Pelayanan cepat. Maju terus polisi Indonesia
329,AG Gaming,1,2024-02-12 13:35:13,Mohon maaf tolong di perbaiki lagi saya mau daftar akun malah nggak ada notif dari emailnya terus mau daftar lewat nomor telepon juga nggak bisa soalnya saya perlu buat SKCK
330,Abdul Jailani,1,2024-02-12 09:57:11,Astaga mau daftar akun aja 😣😖😫😭
331,Stephanus Wahyu,1,2024-02-12 07:22:08,"Tolong donk, pak pol perbaikin sistem nya, saya minta OTP untuk login akun aja dari pagi sampe sore kagak terkirim. ayo lah tolong diperbaikin sistem nya supaya kepercayaan masyarakat ke polisi semakin meningkat"
332,Billy Nurfaidah,1,2024-02-12 07:16:49,Saya klik lupa password disuruh pilih metode verifikasi tp halaman ngeblank
333,robert Alexander,4,2024-02-12 06:55:49,tidak tahu/ banyak diulang ulang
334,deri darmawan,1,2024-02-12 06:28:13,bagus sih pakai aplikasi cuma sayang susah buat digunakannya bikin SKCK aja gagal terus
335,irena imelia,1,2024-02-12 06:20:14,Ribet
336,Zekaii Iryuu,4,2024-02-12 04:10:44,Kenapa harus off mode developer sih?? Ganggu ajaa
337,Ridho Maulana,1,2024-02-12 02:46:27,"Verifikasinya tidak muncul di email saya, mohon perbaiki aplikasinya.."
338,Sri Erfina Damayana,1,2024-02-12 02:34:02,"Apk nya lemot ngk bisa daftar udh dri tdi ngirim kode ke Email tpi ngk ad yg msk satupun, bukannya di permudah malah makin susah"
339,Ahmad Rustandi,1,2024-02-12 02:31:34,app ga guna
340,Fajrul Akmal,1,2024-02-12 01:40:18,Isi data tempat lahir eror mulu
341,Nurul Azizah,1,2024-02-12 01:38:49,"Hadeh, udh make email yg lain tetep gk masuk notifny ... Keknya sekarang makin ribet aja anjirrr hadeh pusing gw"
342,Black Hela,1,2024-02-12 01:38:33,Baru mau bikin aja codenya g dikirim2 pak pak
343,Wahyu Wibowo,1,2024-02-12 00:19:20,Verifikasi lama
344,motor motor,5,2024-02-11 19:09:24,assalamualaikum KK klo blh masukin cctv lalulintas dong sebentar lagi puasa dan arus mudik lebaran
345,Pu Din,1,2024-02-11 08:58:25,Tolong pak diperbaiki lagi mau bikin SKCK kok susah amat
346,Hali Pah,2,2024-02-11 04:39:19,Min ini gimana sih aku udh verifikasi data berulang kali foto berungkali tpi kok di akhir gangguan terus? Pdhl saya pake wifi dirumah
347,Fery daichi,1,2024-02-11 04:11:00,Sangat sangat tidak membantu mau daftar aja susah minta ampun
348,Abi Roshid,1,2024-02-10 16:34:20,"Aplikasi blm sempurna, sudah ngisi data"" sampe tahap terakhir tidak tersimpan harus ngulang dari awal lagi, lalu sudah selesai pun pembayarannya gak bisa. Hadeehhhh Mohon mencontoh aplikasi di daerah sby, ssw alfa sangat membantu. Pelayanan secara digital tanpa perlu keluar rumah perijinan langsung jadi, asal berkas lengkap"
349,Nadziif,1,2024-02-10 14:41:59,"Ini saya udah bayar buat bikin skck 30.000 saya sudah bayar ada notif transaksi berhasil tapi kok di aplikasi nya masih tertulis ""menunggu bayaran"" padahal sudah saya bayar dan ada notif transaksi berhasil"
350,Dendi Cogan,1,2024-02-10 13:04:50,Ribet
351,Ahmad Ihsan,1,2024-02-10 07:10:06,Sekelas instansi besar layanan online sangat buruk
352,Rizka Fauza,5,2024-02-10 04:50:17,Apakah 1 akun bisa mendaftar kan skck orang lain ? Dan jika suda terlanjur bagaimana Terimakasih
353,Hasan Zain,1,2024-02-10 03:49:43,"Tidak menerima OTP, padahal email sudah benar"
354,Restu Firman Hadi,1,2024-02-10 02:45:34,Gabisa daftar akun baru
355,Rani Purwanti,1,2024-02-10 01:42:00,"Pembuatan skck sudah 3 kali coba bayar transfer tp tepat tidak bisa, invalid. Klo kaya gini malah memperlambat orang yg sedang butuh cepat.."
356,Stephen Joachim,1,2024-02-10 01:32:06,Bukan nya dipermudah malah dipersulit
357,Gusti Ahmad Irfansyah,1,2024-02-10 01:22:40,Untuk login sulit tidak dapat kode email
358,Anty Tasmiaty,1,2024-02-10 01:17:30,"Aplikasi masih ada adminya ngga, minta kode otp aja ga bisa bisa"
359,Ari,5,2024-02-10 00:13:56,"aplikasi ini memudahkan tuntuk pengurusan data pribadi, sim, stnk dll secara online, sejauh ini lumayan msh bekerja dgn baik lah👍"
360,Rizal Oktavianto,1,2024-02-09 11:01:16,Susah nya minta ampun
361,Feri Wibowo,1,2024-02-09 04:48:20,kok tidak bisa kirim ke rumah ya knp harus kirim ktp saya wilyah solo tp kok gk bisa kirim ke jkarta atau bekasi
362,Elonia Waee,2,2024-02-09 04:46:48,"Min, tidak bisa login ni Min. tak Klic Lupa kata sanndi tida ada Balasan Min."
363,Wida Dianti,1,2024-02-08 16:30:37,"serba online tapi malah dipersulit sama apk nya, kalo di website lebih mudah dan gak lambat kenapa harus make apk seperti ini bikin kesel doang jadinya, udh isi data diri buat bikin skck pas mau bayar malah tidak bisa menyimpan data, aneh banget! tolong lah diperbaiki, gimana mau sdm kita mau maju."
364,Hanna Kurnia,5,2024-02-08 13:17:38,memudahkan
365,Angga,2,2024-02-08 09:48:48,error
366,Lya Rizki aziza,1,2024-02-08 07:57:16,"Tidak semua polres melayani pencetakan SKCK online ,sya SDH daftar dan bayar biaya pembuatan SKCK secara oniine.tp Polsek dan polres yg berwenang mlahan tidak melayani secara online .hapus sja apk begini menyesatkan masyarakat"
367,Faisal Mudzawam,1,2024-02-08 07:55:39,"Memverifikasi data diri sendiri aja sulit,padahal nomor npwp dan ktp sudah sama persis tapi ada pemberitahuan “INVALID REQUEST”, mohon bantuannya pak karna saya mau mengurus skck secara online!."
368,Defi Rahmawati,1,2024-02-08 07:03:06,"Pas isi data juga malah ga bisa di tengah tengah malah invalid request,adehhh mohon di tingkatkan lagiu"
369,fadlizon delverino,1,2024-02-08 07:02:42,Saya tidak bisa verifikasi
370,Faqih addin,1,2024-02-08 06:34:32,Ga bisa verifikasi
371,Mochammad Irfan Fauzi,1,2024-02-08 05:47:37,"Mohon diperbaiki kembali sistemnya sama seperti yang di pakai saat masih menggunakan web.🙏 saya sudah mencoba mengisi berulang kali tetapi invalid request. Data yang saya masukkan sudah sesuai intruksi. Bukannya mempercepat, tetapi memperlambat jika saat dibutuhkan secara mendadak."
372,Silvi Nurcahyani,1,2024-02-08 05:41:53,Pengajuan SKCK selalu invalid request. Saran take down aplikasinya dr play store karena tidak berguna. Jika sudah dikembangmajukan silakan pasang kembali di sini.
373,Amsor Hidayat,4,2024-02-08 05:35:28,Sdh daftar skck online Trus pas nanti bayar tunai di loket apakah bawa persyaratan lg? Apa langsung bayar ya?
374,Ferdy Mahardian,1,2024-02-08 04:44:17,Invalid terus pas memasukkan data identitas
375,umay dieng bekasi,4,2024-02-08 04:41:43,Membantu
376,Badriyanto Yanto,5,2024-02-08 03:39:16,Lumayan bagus
377,MUH TONI HARIYADI,1,2024-02-08 03:30:58,Mau melengkapi data diri sistemnya muncul pemberitahuan Invailid request terus
378,Adi Suryawan,5,2024-02-08 01:53:03,Mantap
379,Andres Pardede,1,2024-02-07 23:55:16,"Berkas file udh terkirim Sampai kantornya sama ajah serahin berkasnya ulang. Biayanya juga sama mau transfer atau ces. Mending datang langsung ke kantornya. Tidak ada kata duluan, sama ajah nunggu nomor antrian ."
380,DiLo Ent,2,2024-02-07 23:05:24,Tolong masa berlaku SIM dikembalikan seperti dulu sesuai tanggal lahir. Kalau sesuai tanggal pencetakan itu bisa orang lupa.
381,ercepe,1,2024-02-07 13:42:34,Kenapa saya mengalami invalid request terus padahal data sudah lengkap dan benar ya?
382,Elma Peren Sirait,4,2024-02-07 08:51:30,"Mohon penjelasannya bapak/ibu Saya sudah mengurus SKCK secara online Tp ternyata pengambilan nya sesuai KTP Dan saya tdk teliti dlm mengisi ""Pengambilan SKCK di wakilkan oleh""Saya pilih nya ""saya sendiri"" Lalu saya baru ingat kalau domisili saya saat ini tdk sesuai dengan pengambilan SKCK. Lalu saya urus ulang secara online, Dan saya mengisi "" pengambilan SKCK di wakilkan oleh"" Saya pilih ""orang tua"". Jd intinya pembayaran saya 2 kali. Apakah ada pengembalian atau gimana ya pak/bu? Terima Kasih"
383,Kuntul,1,2024-02-07 06:07:14,"Tidak bisa daftar, verifikasi email tidak masuk masuk. (Bkn email saya bermasalah ataupun hp saya karena email lain gampang masuk inbox) Kalau bisa verifikasi bisa lewat sms atau WA juga. Jangan patokan ke email saja. Trimakasih."
384,Muhammad Redo,1,2024-02-07 02:44:19,"Aplikasi gk berguna , mempersulit!"
385,azhril suherman,1,2024-02-07 02:07:16,Apk nya gajelas verifikasi ga bisa²
386,irwan agustiadi,1,2024-02-07 01:11:41,"Mau perpanjangan SKCK, isi data invalid request terus, bikin susah aja.. ini bukan memudahkan malah menyusahkan"
387,Nindya Amirah Isnain Ferry,1,2024-02-07 00:42:20,"Saya sudah 3x coba lengkapi identitas, tapi tetap invalid. Ini maksudnya gimana ya? Dipanduan juga ngga ada tuh cara tanganinya."
388,Dhea Dan,1,2024-02-06 20:44:04,"Tolong jika membuat apk, diperhatikan kesiapan apk tsb, dulu dengan sistem web menurut saya sudah sangat bagus, saya kira dengan pembaruan apk ini akan mempermudah saya,tapi nyatanya malah mempersulit saya,mau ngurus apa2 susah, membuka apk, verifikasi susah,nunggu bebra kali bahkan nunggu lusanya,baru selesai verifikasi apk malah muter2 saja"
389,Ica kurnia,1,2024-02-06 12:04:24,Aplikasi T@i mempersulit rakyat.!!
390,laila Maqhfiroh,5,2024-02-06 10:33:55,"Baru download jg,,mdh2 an aman dan nyaman"
391,Haerul,1,2024-02-06 09:07:49,Minta otp aja susah kali
392,Lucy Ardianto,1,2024-02-06 07:05:39,"Percuma susah-susah foto dari aplikasi, melengkapi berkas dari aplikasi, kalau ujung-ujungnya waktu mau pengambilan/cetak SKCK masih harus bawa semua berkas2 nya . Percuma juga kalau aplikasi dan inovasi nya bagus tapi pelayanan nya bobrok .padahal semua persyaratan yang sudah di upload harusnya sudah otomatis tersimpan di database.. Hadeh gimana mau maju kalo gini"
393,Nikobanurea Niko,1,2024-02-06 06:52:59,Aplikasi nyusahin orang aja
394,Muhammad As'ad,1,2024-02-06 05:37:19,"Sangat tidak bagus ini aplikasi masa kita sudah bayar lunas di aplikasi presisi polri ,sy bayar melalui BRIVA kemudian saya di arah kan ke polres morowali tapi anggota di sana enggan untuk melayani saya,malah dia mengatakan sy tdk tau dengam itu hrus di urus dsni bkn melalui presisi lah kemudian uang sy yg sdh sy tf siapa yg mau tanggung hawab"
395,Yanuarisha Yesvi,2,2024-02-06 05:22:08,"Mohon maaf kasih bintang 2, karena pembuatan SKCK yang sudah dibayar melalui briva. Tidak dianggap masuk jika ke polsek.( bukti scan pembayaran dan email sudah ditunjukan ke petugas)Dengan alasan belum online dan hanya bisa di polres. Padahal saya dapat email bahwa arahan nya untuk datang ke polsek. Jadinya saya bayar dua kali. Saya tanya di polsek tsb Apakah pembayaran online melalui briva bisa kembali . Petugas disana belum mengetahui caranya. Sosialisasi nya belum menerima informasi katanya."
396,Reng Madhureh,2,2024-02-06 04:21:22,Untuk registrasi data diri banyak kendala infonya gmna
397,Aulia Rahman,3,2024-02-06 03:35:06,lamaa sekali kode otw setelah 7 hari baru masuk
398,zero bye,1,2024-02-06 02:55:02,"masuk aplikasi lama, loading lama, servernya bagusin dong biar nyaman aplikasinya"
399,Refi Putra,1,2024-02-05 17:12:36,Apk sesat. Semakin menyulitkan
400,Egar Rivaldy,1,2024-02-05 14:18:04,"Mau bikin skck aja ribet bgt, mending seperti dulu datang isi data diri di tempat tunggu deh"
401,Sahrul Ramadan,1,2024-02-05 12:22:42,Lemot apk nya ribet bat sumpah mending offline pak pol gimana sih ah memperlambat pekerjaaan
402,Fadhil Fawwaz,1,2024-02-05 10:51:34,"Ngga bisa foto ktp ini... Aplikasi ini ngambil fotonya sangat cepat, yang kelihatan cuma gambar putih doang. Gimana sih, tolong benerin lagi lahh, di optimalkan aplikasinya, ui/ux nya juga jelek"
403,Boby Piero,1,2024-02-05 10:46:40,Aplikasi lemot bufringnya kelamaan .mending ganti aplikasi atau d perbaiki.masalah signal melulu padahal d aplikasi lain gacor....mending kalo blm siap online jgn pake aplikasi ..offline lebih enak
404,Maulana 18,1,2024-02-05 10:34:38,Aplikasi susah buat di buka slalu stuck di logo aja....slalu gangguan padahal saya nonton ytb lancar tapi buka APK presisi stuck di logo
405,rama triyanaap,2,2024-02-05 10:05:58,"Mohon ditambah untuk proses pengiriman perpanjang SIM online, untuk wilayah kec paseh kab bandung dan kec sumur bandung kota bandung belum ada, terimakasih"
406,Bagas Novianto,1,2024-02-05 09:57:05,Servernya lemot dan verifikasi yg untuk pendaftaran susah
407,Dinul Mubaraq,5,2024-02-05 09:48:33,Aplikasi terbaik layanan mudah dan bagus
408,Mohamad Muslim,2,2024-02-05 07:16:35,Tertulis bisa membuat skck lewat polsek pembayaran non tunai di polsek tapi pas dateng ke polsek malah di tolak karna belum bisa lewat online harus offline
409,Ramadhan Syahrul,1,2024-02-05 04:49:11,"Kenapa susah kali pengurusan online, mempersulit rakyat aja kzl awak .. kenapa ga seperti sistem lama aja biar cepat, awak butuh cepat harus ini itu dulu kek asu"
410,Rezie Sukma,1,2024-02-05 04:38:24,Aplikasi jelek. 1 jam daftar masuk akun. Tiap tahap terlalu lama. Sampai ketikan ini di buat belum juga selesai buat akun karena loading ya terlalu lama
411,VR • Bumblebee,1,2024-02-05 02:54:00,"Bagus sih, cuma menurutku yg seharusnya simple,mudah di akses dmna aja malah bikin repot aja karna ga ada keteranganya kalau sedang dalam proses apa, contoh klo perpanjang SIM yg seharusnya mencontoh di app digital Korlantas tahapanya jdi tau klo sedang d proses peninjauan data dll. Dan menurut gw harusnya sih ya klo online itu lebih cepat d banding yg offline, karna data dll kan pasti sudah ada, masak cross check data aja butuh waktu 1 bulan😮‍💨, dn smpe skrng SIM gw entah nyangkut dmna dah🤦"
412,Agung prsty,1,2024-02-05 02:49:17,Ada versi aplikasinya malah tambah susah Jaringan buat yg lain lancar buat masuk aplikasi inialah muter2 doang Parahh
413,Verdiyansyah Aditya,1,2024-02-05 02:34:23,"Saya mau mengecek pengaduan laporan saya di aplikasi ini, eh ternyata masih gangguan lah masih tahap pengembangan aplikasi lah, sampai kapan seperti ini? Niat engga sih developer kepolisian membuat aplikasi, saya ini kena penipuan barang laptop sampai HP, foto pelaku sudah ada identitas pelaku sudah ada, tapi perkembangan kasus masih stuck di pihak berwajib, dari aplikasi inilah saya ingin melihat sejauh mana proses laporan pengaduan saya!"
414,Will Joostensz,5,2024-02-05 01:16:05,Baik
415,Aziz Wahyu,4,2024-02-04 22:47:56,"Sebenarnya cukup memudahkan tapi masih banyak kendala. Disuruh verifikasi tapi kode otpnya gak dikirim kirim. Terus gua verif akunnya pake apaan?! Suruh nunggu 1 jam masih belum dikirim, ini hari kedua masih belum bisa login. Kocak."
416,Siti Aisah,5,2024-02-04 11:59:00,"Appsnya memudahkan dalam pembuatan SKCK secara online tinggal datang ke polres lalu bayar nunggu beberapa menit langsung jadi SKCK. UI nya juga user friendly jadi mudah digunakan semua kalangan. Kekurangan klo pindah ke apps saat pengisian data, data yg di isi langsung ilang dan harus isi dari ulang. Tidak autosave. Overall apps nya bagus. Keren nih developernya"
417,Durodi,1,2024-02-04 11:08:33,Sangat susah untuk login Email ga masuk!
418,rizkyarsy 2018,3,2024-02-04 10:53:26,"Nunggu kode verifikasi gk nongol"" 😔"
419,Muhammad Akmal Ramy,2,2024-02-04 09:21:49,"Isi data diri kena gangguan sinyal terus, ini gimana ya?"
420,Kurniawan Wahyudi,1,2024-02-04 08:39:45,Aplikasi yang sangat buruk !! Mau verivikasi email tapi kode nya ga pernah masuk padahal email nya bener dan itu gw lakuin berkali² tapi hasilnya sama tdk ada kode email masuk. Sangat sangat buruk ini aplikasi !!
421,AIDI AGUSTIAWAN,2,2024-02-04 04:35:17,"Masih belum sempurna. Kode otp hanya bisa lewat email dan tidak bisa melalui Whatsapp. Jadi, guna meminta No Hp untuk apa. Kode OTP setelah 2 jam baru sampai di email."
422,Ari Nugraha,5,2024-02-03 14:28:12,"Lengkap dan komplit , jaya POLRI menuju digitalisasi"
423,Irfan Ramadhan,1,2024-02-03 10:44:36,"Aplikasi macam apaan ini, suruh login atau daftar baru pas bagian kode OTP malah ga muncul2 tuh kode OTP udh gnti emal 10x dan nomer 7x kode OTP ga muncul2"
424,Wahyu Satria,1,2024-02-03 09:58:51,"seperti biasa aplikasi layanan masyarakat, mengecewakan masa mau daftar pengguna baru aja dibikin ribet"
425,Imroatus s.,2,2024-02-03 08:32:55,"Padahal lebih enak dulu tanpa apk lewat web teman2 saya yg daftar SKCK lancar2 aja. Sekarang mau lengkapi data aja harus berkali2 karena ga bisa terus padahal jaringan juga lancar, mana web nya sekarang sudah ditutup. Tolong kalo mau ganti ke apk setidaknya pastikan apk sudah bisa digunakan dengan lancar agar ga menghambat seperti sekarang."
426,Thomy Kurniady,1,2024-02-03 05:27:29,"Untuk kode verifikasi nya sangat lama memiliki bug, kita kirim skrang masuk nya besok dan itu kode nya tiap ingin melakukan verifikasi selalu terganti kode nya dan gak bisa proses"
427,Kristiwan Purba,5,2024-02-03 04:56:53,Ok mntp
428,Rita Sari,5,2024-02-03 03:57:11,"Sy pengguna baru, tpi saya rasa aplikasi ini sangat efektif supaya kita merasa selalu terpantau oleh pihak kepolisian..dan merasa aman tentu nya..."
429,marti rahmadani,1,2024-02-03 03:01:58,Pelayanan yg kurang ramah
430,Tris nadi,5,2024-02-03 02:15:53,Aplikasi ini sangat keren dan sangat membantu sekali dalam mengurus berkas berkas di kepolisian
431,Puri Bambang,1,2024-02-03 01:14:19,Kode verifikasi lama banget
432,Vina Fitrotun Nisa,1,2024-02-03 00:14:56,"apaan sih, baru mau buat akun kode verifikasi aja ngga masuk masuk ke email"
433,SUPRIYADI 99 (Yadi),1,2024-02-02 19:09:13,Nunguin kode verifikasi ga di kirim kirim tolong dong pak
434,Redaksi Sumbar,5,2024-02-02 16:50:26,Aplikasi ini sangat membantu masyarakat.. tingkatkan...
435,Robby Slat,1,2024-02-02 16:46:09,"Saran pak tolong aplikasinya di-update lebih rapi, karena mau daftar aja OTP ke email bisa 1 jam an muncul ,mau daftar jgn dipersulit supaya memudahkan kita. Kalo sudah bagus saya tambahin bintangnya"
436,DENNI AFRIANSYAH,1,2024-02-02 16:34:22,"Ga Jelas Banget daftar beginian. Kode otp email kga muncul"""
437,Nurul Afidah,1,2024-02-02 15:54:36,"Tolong lebih diperhatikan dan lebih dikembangkan aplikasinya untuk mempermudah masyarakat dalam mengurus SKCK, SIM, dll. Contohnya di case saya, saya mau perpanjang SKCK tapi stuck di kode verifikasi lewat email. Seharusnya harus lebih cepat untuk mengirim kode verifikasinya bukan malah lemot g muncul di email. Kalau saya mending lewat link Google aja dibandingkan lewat aplikasi tapi di awal aja sudah g berjalan. Tolong lebih ditingkatkan lagi untuk lebih mempermudah."
438,Vista Nurlailah,1,2024-02-02 15:34:11,SUSAH MINTA KODE VERIFIKASI
439,Dewi Fathonah,1,2024-02-02 14:13:47,Verif email lama poll jadi males
440,Muthiah Rahmi,1,2024-02-02 14:04:25,"verifikasi email tidak masuk, dan masuk terlalu lama, padahal tidak ada masalah pada jaringan sama sekali."
441,Suhardiman,1,2024-02-02 13:42:38,"Tidak dapat mendaftar akun, tolong di perbaiki"
442,Sins Jr3,1,2024-02-02 13:39:53,Mau daftar gabisa kenapa yaa
443,Habib Muhi,1,2024-02-02 12:57:40,"Pas mau kode verifikasi, kode email nya lambat muncul waktunya udah habis baru muncul diperbaikin lg appknya tolong harusnya memper mudah malah mempersulit"
444,Isal Faisal,1,2024-02-02 12:57:34,"Darii pagii sampaii tembus malam,susah sekalii dapat kode verifikasih,lemot sekali ini aplikasi,jadii malas mau ngurus apa² lewat online gini,buat aplikasi yg lebih baik lah,jangan kaya gini kode verifikasihnya lemot."
445,Aditya Fikri Mahardika,1,2024-02-02 12:35:01,"Apk gajelas,minta verif kaga di kasih kode nya!"
446,Bima Ws,1,2024-02-02 11:58:11,Verif gmail tdk masuk
447,Lamia Bellelyn,2,2024-02-02 11:03:05,"Perpanjang SIM : Tes kesehatan tolong secara online dong, tidak perlu harus datang ke RS Umum Bayangkaraya TK 1 (gedung promoter lant 2). Mengajukan online kan untuk hemat waktu. Ini masih harus luangkan waktu untuk tes kesehatan. Bayar Tes Kesahatan Rp. 40.000 tolong secara online seperti Psikotes Rp. 48.000 Di totalkan saja semuanya jadi tidak perlu bolak balik transfer, hanya BNI pula. Saya pakai BCA. 75.000 SIM nasional 15.000 Pengemasan Paket 7.501 Kirim SIM 10.000 layanan"
448,M Badru Zaman,1,2024-02-02 10:52:14,"Sangat jelek tidak membantu sama sekali, untuk nerima kode verifikasi aja harus nunggu 1 jam, itu pun gk bisa bikin kita masuk ke apk"
449,Riki Muttaqin,1,2024-02-02 10:51:15,"Pas daftar ngisi no hp & email aktif.. Tpi Kode verifikasi cuman dikasih opsi 1, via email doank.. Itu jg susah banget gak nongol2 tuh si kode verifikasi. Malah yg kemarin munculnya hari ini.. Buat perpanjang SKCK kudu download & daftar di aplikasi ini.. Hadeuh 😭"
450,Erik Viki Febian,1,2024-02-02 09:59:40,Kode Verifikasi ga masuk ke gmail!
451,Muhhamad Amirudin,1,2024-02-02 09:37:32,Susah2 verifikasi uplod dokumen ini itu setelah jadi skcknya. Ujung2nya tetep harus ke polsek antri berjam2 bawa berkas fotocopy utk mencetak skcknya. Terus gunanya apk ini bwt apa ?! Bener2 useless bukanya memudahkan masyarakat malah mempersulit
452,Roy,1,2024-02-02 09:07:11,Jelek banget yang bikin aplikasinya gag bisa di pake ini mah bukan mempermudah tapi mempersulit
453,Nasrullah Rinaldi,1,2024-02-02 08:56:46,"Mau login dibuat susah jadinya mengurus surat SKCK tidak siap siap. Setiap minta kode verifikasi, kode baru sampai ke user 4 jam kemudian 🤣🤣. Sedangkan di app nya tertulis kode hanya berlaku 1 jam setelah dikirim. Aduhh gimana ni."
454,Raja Wali46,1,2024-02-02 08:39:20,Terlalu buruk
455,Reza Abdan,1,2024-02-02 08:34:36,"Menyita waktu saya mengurus ini 2 hari juga belum jadi jadi, seharusnya menjadi alat yang mudah transparan dan cepat tapi dengan adanya kendala akses yang sulit, kode otp yang datangnya telat di email membuat susah ,mohon di maintenance pak apk nya semoga bisa teratasi"
456,Desy Apriliana Sari,2,2024-02-02 08:29:59,"Udah seneng krn tau bisa bikin skck online via aplikasi ini. Ternyata sama aja. Tetep harus bawa dokumen cetak padahal udah upload semua dokumen via aplikasi. Selain itu, gak bisa milih tempat pengambilannya (sudah ditentukan sistem). Padhl lg di luar daerah tsb, mana gak bisa dikirim juga. Akhirnya ke lokasi, di surat keterangan bisa sampe jam 15.00, sampai sana ternyata ditolak krn di jam 14.00 udah tutup dan gak ada orang. Ketemu salah satu staff di suruh ambil besoknya. Malah makin ribet."
457,Anonn,1,2024-02-02 08:29:54,Mau daftar saja tidak bisa niatnya pake app tp ga bisa jg... Klo bgni terpaksa ke kantor polisi sja lah urusnya pdhl mau yg ringkas dn cepat 😞😭😭
458,muhamad farhan,1,2024-02-02 07:14:44,Lama dapet verifikasi emailnya
459,Ari Ahmad,1,2024-02-02 07:14:14,"Nunggu otp buat daftar baru aja lo susahnya minta ampun, daftar masuknya jam berapa otp nya masuk jm berapa bukan mempermudah malah susahnya setengah mati"
460,Ary Prasetya,1,2024-02-02 07:04:45,Verifikasi email nya udh dcoba beberapakali masa gabisa/salah terus heran ga ngerti saya
461,Apoocryptix Channel,1,2024-02-02 07:00:20,Apk gajelas
462,Arya Anggara,1,2024-02-02 06:58:37,Mohon di perbaiki lagi pak ini saya nunggu kode prepikasi nya lama bgt giliran saya ganti email baru keluar lama bgt pakk
463,Ni Wayan Canita Dewi,1,2024-02-02 06:49:59,Aplikasi tdk bisa digunakan kode verifikasi email tdk terkirm saat ada kode masuk kode tdk bisa dipakai
464,Muhammad Arif,1,2024-02-02 06:42:11,Registrasi susah bener
